Item,Qty,Description,Notes
Raspberry Pi 3 Model B+,1,Main Linux computer / KoalaByte Blue companion brain,Power through micro-USB from the USB portable power bank or from a powered USB hub
Nordic nRF52840 USB Dongle / PCA10059 / NRF52840-DONGLE,1,Production-default Nordic BLE board,Plug into Raspberry Pi USB; no separate battery wiring
ESP32-S3 DualEye module,1,Dual-eye UI / microphone / display front-end,Connect to Raspberry Pi by USB data cable; power from Pi USB or powered hub where stable
1.28 inch round LCD display,2,240x240 round LCD eyes,Included on the ESP32-S3 DualEye module
8 ohm 2 W mini speaker,1,Audio output for local status / companion feedback,Mount behind front grille or internal speaker location
2.4 GHz external antenna,1,External Wi-Fi/Bluetooth antenna with fitted lead for ESP32-S3 DualEye,Do not substitute this antenna for any LoRa antenna
Frequency-matched LoRa antenna,0-1 optional,Small external LoRa antenna for optional Heltec Wireless Tracker V2 or T114 validation board,Match the purchased board band and region; do not substitute a 2.4 GHz antenna
Heltec Wireless Tracker V2 USB-C LoRa GNSS node board,0-1 optional,Optional Didgeridoo LoRa/Mesh/GNSS node,ESP32-S3FN8 SX1262 LoRa and UC6580 GNSS; connect to Raspberry Pi USB-A with short USB-A to USB-C data cable; do not wire this USB node to Raspberry Pi GPIO
Heltec Mesh Node T114 V2 nRF52840 SX1262 board,0-1 optional,Optional alternate nRF52840 target validation board,Opt-in only on main; confirm exact Zephyr board target and bootloader/flash method before use
Heltec USB-A to USB-C data cable,0-1 optional,Internal USB data cable for Didgeridoo or T114 validation board,Use a short data-capable cable; charge-only cables will not enumerate as ttyUSB or ttyACM
LoRa antenna case opening,0-1 optional,Mechanical case/top-plate feature for optional LoRa board antenna,Add separate smaller LoRa hole or bulkhead location only when LoRa hardware is installed
GNSS sky-view clearance,0-1 optional,Mechanical non-metal clearance zone above optional GNSS antenna path,Keep speaker magnets metal screws metal standoffs and dense wiring away from the GNSS antenna area
External GNSS antenna and case opening,0-1 optional,Optional GNSS antenna hardware if the build switches to GNSS IPEX/U.FL,Only add this if intentionally using the documented external GNSS antenna path
PIFFA-style 50000 mAh USB portable power bank 22.5 W class,1,Main simplified external power source,Replaces loose 18650 cells 2S holder BMS fuse switch buck converter PD trigger and raw battery wiring
Short USB-A or USB-C to micro-USB power cable for Raspberry Pi 3B+,1,Power cable from power bank to Raspberry Pi,Use a short quality low-resistance cable rated for the Pi current draw
Short USB data cable for ESP32-S3 DualEye,1,USB data cable from Raspberry Pi or powered hub to ESP32-S3 DualEye,Use actual data-capable cable
Optional powered USB hub,0-1 optional,Powered hub for ESP32 Nordic dongle optional Heltec board and optional CAN adapter,Recommended if Raspberry Pi undervoltage or USB instability appears
Adafruit tactile button switch 6mm pack PID 367,1 pack / 6 used,Six-button front-panel controls,Signal wiring only; GPIO to button and other side to GND; do not connect to power-bank positive or 5 V
KoalaByte Blue front button bezel 6x6mm RevA6,1,3D printed front button bezel,Aligns six front buttons in the enclosure
microSD card,1,Pi OS / logs / reports / captures,128 GB recommended; 32 GB minimum for basic testing
M2.5 standoffs / screws / nuts,1 set,Mechanical stacked assembly,Use insulating standoffs where clearance is tight
Acrylic or printed frame plates,1 set,Open-frame stacked module structure,No custom PCB required
3D printed case / stacked frame / rear panel,1 set,Optional production enclosure with koala-ear form factor,Print and test-fit before final wiring; leave clearance around power-bank cable USB cable bends optional LoRa antenna and optional GNSS sky-view zone
InnoMaker USB to CAN Converter kit,0-1 optional,Optional Koala Kan Kommander USB-to-CAN adapter,Mount internally or in a side/rear service bay; use as SocketCAN interface such as can0 on Linux
InnoMaker CAN cable / adapter-side harness,0-1 optional,Adapter-matched CAN_H / CAN_L / GND / optional SHIELD connection,No circular panel CAN port; route to authorized bench harness with strain relief
Adapter mount / strain relief,0-1 optional,Printed bracket adhesive mount Velcro or standoff support for InnoMaker converter,Keep clear of antennas speaker grille Raspberry Pi GPIO and USB cable bends
Cable management / strain relief,1 set,Zip ties heat-shrink adhesive cable anchors,Keep wires away from antennas vents USB connectors and button wiring
